id,mission,disposition,label,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_re,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_re,apparent_mag,ra,dec
5647638,Kepler,FALSE POSITIVE,0,1.21607873,4.686,29.4,1.92,2803.0,14545.24,6234.0,2.5,13.333,298.64252,40.838909
5653126,Kepler,FALSE POSITIVE,0,38.49536985,12.8716,93327.0,124.34,824.0,109.13,6050.0,2.345,13.173,299.702,40.896271
5686974,Kepler,FALSE POSITIVE,0,4.18224416,6.209,57.2,1.07,1206.0,500.7,6057.0,0.999,13.732,284.87558,40.984428
5696909,Kepler,FALSE POSITIVE,0,0.643002821,1.02608,2671.5,36.82,2188.0,5409.39,5681.0,1.036,14.984,289.07111,40.978809
5697628,Kepler,FALSE POSITIVE,0,1.95119541,1.907,59.7,0.47,1050.0,287.41,4936.0,0.628,15.105,289.30341,40.924229
5700330,Kepler,FALSE POSITIVE,0,53.220416998,17.7344,72895.0,55.22,655.0,43.63,5653.0,2.057,13.613,290.15335,40.90163
6629156,Kepler,FALSE POSITIVE,0,0.71538172,5.0,,,,7377.38,,,14.67,297.66974,42.08886
6629588,Kepler,FALSE POSITIVE,0,2.264471713,7.1803,187430.0,102.12,2103.0,4637.68,6782.0,1.752,13.983,297.75565,42.009071
6636020,Kepler,FALSE POSITIVE,0,18.3602239,2.352,574.6,2.04,637.0,38.9,5713.0,0.856,15.703,299.02518,42.061729
7431665,Kepler,FALSE POSITIVE,0,281.509095,40.963,5948.7,85.77,685.0,52.05,4797.0,10.709,10.974,287.37662,43.009491
7455553,Kepler,FALSE POSITIVE,0,3.258249472,2.6358,1643.5,79.23,2057.0,4234.38,6712.0,2.361,13.059,294.83984,43.019718
7456521,Kepler,FALSE POSITIVE,0,552.8295063,16.0851,266300.0,56.89,229.0,0.65,5956.0,0.929,14.973,295.09634,43.047981
7461314,Kepler,FALSE POSITIVE,0,0.773595312,0.781,93.0,0.96,1976.0,3613.97,5973.0,0.935,14.882,296.23856,43.02179
7499571,Kepler,FALSE POSITIVE,0,533.6593,12.81,533.5,1.92,205.0,0.42,5695.0,0.839,14.931,280.46259,43.142052
7541502,Kepler,FALSE POSITIVE,0,44.827323809,6.86103,237120.0,429.0,779.0,87.2,5160.0,3.279,11.56,295.57651,43.190327
8285254,Kepler,FALSE POSITIVE,0,7.535894184,8.3059,172130.0,24.64,642.0,40.28,4969.0,0.537,15.398,285.56534,44.29525
8285970,Kepler,FALSE POSITIVE,0,0.562498925,0.6743,420.1,2.88,2129.0,4880.5,5638.0,0.933,14.792,285.95874,44.254719
8288719,Kepler,FALSE POSITIVE,0,0.755049082,2.09643,26068.0,30.47,1551.0,1372.84,5242.0,0.622,13.276,287.35971,44.294991
8294484,Kepler,FALSE POSITIVE,0,1.012694226,3.6017,108500.0,42.51,2230.0,5846.79,6487.0,1.233,14.713,289.94028,44.225719
8296467,Kepler,FALSE POSITIVE,0,10.303356001,5.98633,520070.0,69.66,787.0,90.76,5497.0,0.9,15.177,290.59256,44.206589
8301013,Kepler,FALSE POSITIVE,0,2.214029545,5.64264,349110.0,94.23,1894.0,3041.8,6604.0,1.526,13.3,292.29675,44.280571
8302455,Kepler,FALSE POSITIVE,0,2.441988077,3.94526,95344.0,90.39,1993.0,3721.74,6078.0,2.059,11.535,292.8627,44.22105
8302473,Kepler,FALSE POSITIVE,0,2.44200193,3.146,128.6,0.95,1217.0,518.48,5587.0,0.851,15.617,292.8685,44.23616
8311864,Kepler,CONFIRMED,1,384.847556,9.969,189.9,1.09,220.0,0.56,5579.0,0.798,13.426,296.00369,44.277561
9181340,Kepler,FALSE POSITIVE,0,2.131225773,5.4932,2337.1,35.68,1555.0,1382.47,6181.0,1.028,14.818,300.39902,45.521111
9205993,Kepler,FALSE POSITIVE,0,1.219736039,4.89465,611520.0,135.43,2611.0,10982.55,7358.0,1.637,14.871,285.72537,45.666431
9207508,Kepler,FALSE POSITIVE,0,2.015152464,8.17997,561690.0,132.05,2107.0,4657.05,6988.0,1.649,13.705,286.59497,45.69828
9210828,Kepler,FALSE POSITIVE,0,0.82820657,2.70353,118530.0,35.67,1473.0,1109.75,5033.0,0.655,13.221,288.44455,45.612671
9236858,Kepler,FALSE POSITIVE,0,2.537081943,4.80903,245320.0,67.96,1712.0,2032.57,6735.0,1.309,13.04,298.12146,45.651131
9243795,Kepler,FALSE POSITIVE,0,14.443127448,8.33598,41685.0,92.28,1182.0,462.07,5757.0,2.736,12.732,300.12634,45.633549
